symbol,date,open,high,low,close,volume
TRND,2024-01-02,50.00,51.00,49.50,50.00,800000
TRND,2024-01-03,50.00,52.00,49.75,51.00,801000
TRND,2024-01-04,51.00,53.00,50.75,52.00,802000
TRND,2024-01-05,52.00,54.00,51.75,53.00,803000
TRND,2024-01-06,53.00,55.00,52.75,54.00,804000
TRND,2024-01-07,54.00,56.00,53.75,55.00,805000
TRND,2024-01-08,55.00,57.00,54.75,56.00,806000
TRND,2024-01-09,56.00,58.00,55.75,57.00,807000
TRND,2024-01-10,57.00,59.00,56.75,58.00,808000
TRND,2024-01-11,58.00,60.00,57.75,59.00,809000
TRND,2024-01-12,59.00,61.00,58.75,60.00,810000
TRND,2024-01-13,60.00,62.00,59.75,61.00,811000
TRND,2024-01-14,61.00,63.00,60.75,62.00,812000
TRND,2024-01-15,62.00,64.00,61.75,63.00,813000
TRND,2024-01-16,63.00,65.00,62.75,64.00,814000
TRND,2024-01-17,64.00,66.00,63.75,65.00,815000
TRND,2024-01-18,65.00,67.00,64.75,66.00,816000
TRND,2024-01-19,66.00,68.00,65.75,67.00,817000
TRND,2024-01-20,67.00,69.00,66.75,68.00,818000
TRND,2024-01-21,68.00,70.00,67.75,69.00,819000
TRND,2024-01-22,69.00,70.00,67.50,68.00,820000
TRND,2024-01-23,68.00,69.00,66.50,67.00,821000
TRND,2024-01-24,67.00,68.00,65.50,66.00,822000
TRND,2024-01-25,66.00,67.00,64.50,65.00,823000
TRND,2024-01-26,65.00,66.00,63.50,64.00,824000
TRND,2024-01-27,64.00,65.00,62.50,63.00,825000
TRND,2024-01-28,63.00,64.00,61.50,62.00,826000
TRND,2024-01-29,62.00,63.00,60.50,61.00,827000
TRND,2024-01-30,61.00,62.00,59.50,60.00,828000
TRND,2024-01-31,60.00,61.00,58.50,59.00,829000
TRND,2024-02-01,59.00,60.00,57.50,58.00,830000
TRND,2024-02-02,58.00,59.00,56.50,57.00,831000
TRND,2024-02-03,57.00,58.00,55.50,56.00,832000
TRND,2024-02-04,56.00,57.00,54.50,55.00,833000
TRND,2024-02-05,55.00,56.00,53.50,54.00,834000
TRND,2024-02-06,54.00,55.00,52.50,53.00,835000
TRND,2024-02-07,53.00,54.00,51.50,52.00,836000
TRND,2024-02-08,52.00,53.00,50.50,51.00,837000
TRND,2024-02-09,51.00,52.00,49.50,50.00,838000
TRND,2024-02-10,50.00,51.00,48.50,49.00,839000
TRND,2024-02-11,49.00,51.00,48.75,50.00,840000
TRND,2024-02-12,50.00,52.00,49.75,51.00,841000
TRND,2024-02-13,51.00,53.00,50.75,52.00,842000
TRND,2024-02-14,52.00,54.00,51.75,53.00,843000
TRND,2024-02-15,53.00,55.00,52.75,54.00,844000
TRND,2024-02-16,54.00,56.00,53.75,55.00,845000
TRND,2024-02-17,55.00,57.00,54.75,56.00,846000
TRND,2024-02-18,56.00,58.00,55.75,57.00,847000
TRND,2024-02-19,57.00,59.00,56.75,58.00,848000
TRND,2024-02-20,58.00,60.00,57.75,59.00,849000
TRND,2024-02-21,59.00,61.00,58.75,60.00,850000
TRND,2024-02-22,60.00,62.00,59.75,61.00,851000
TRND,2024-02-23,61.00,63.00,60.75,62.00,852000
TRND,2024-02-24,62.00,64.00,61.75,63.00,853000
TRND,2024-02-25,63.00,65.00,62.75,64.00,854000
TRND,2024-02-26,64.00,66.00,63.75,65.00,855000
TRND,2024-02-27,65.00,67.00,64.75,66.00,856000
TRND,2024-02-28,66.00,68.00,65.75,67.00,857000
TRND,2024-02-29,67.00,69.00,66.75,68.00,858000
TRND,2024-03-01,68.00,70.00,67.75,69.00,859000
